,Price,Year,Mileage,City,State,Make,Model
596598,15985,2014,64525,Atlanta, GA,Mercedes-Benz,C-ClassC250
275579,24325,2017,18467,Akron, OH,Ford,Escape4WD
405941,14336,2012,83187,Duluth, GA,Honda,CR-VEX-L
431381,13547,2016,31171,Redmond, OR,Hyundai,Sonata4dr
663569,12888,2016,12133,Las Vegas, NV,Nissan,Versa
623492,13500,2013,36744,Alexandria, VA,MINI,Cooper
495257,8495,1999,107081,Woodbridge Township, NJ,Jeep,Cherokee4dr
810376,24885,2010,82801,Dyersburg, TN,Toyota,Tundra
797574,18998,2015,75831,Lynnwood, WA,Toyota,Prius
84535,14595,2015,23468,Colmar, PA,Chevrolet,Malibu1LT
226929,12999,2007,148569,Evansville, IN,Dodge,Ram
128123,22594,2017,30432,Oklahoma City, OK,Chevrolet,TraverseFWD
792362,19999,2015,32049,Roswell, GA,Toyota,Prius
181013,2995,1999,236829,Jefferson City, TN,Chevrolet,Blazer4dr
621181,67935,2015,4077,Sarasota, FL,Mercedes-Benz,SL-ClassSL400
696017,11991,2008,131104,Katy, TX,Nissan,Pathfinder2WD
2140,19250,2014,41744,Louisville, KY,Acura,TL2WD
69672,6995,2008,172790,Jersey City, NJ,Cadillac,CTS4dr
492320,17989,2015,22538,Modesto, CA,Jeep,RenegadeSport
693217,24430,2014,31893,Buford, GA,Nissan,370ZCoupe
591851,7500,2007,99763,Tacoma, WA,Mazda,MAZDA34dr
390518,17000,2012,30698,Los Angeles, CA,Honda,Civic
593694,20995,2017,13415,Killeen, TX,Mazda,Mazda6Touring
747816,13500,2016,22845,Louisville, KY,Toyota,CorollaL
554168,10988,2008,107332,Jacksonville, FL,Lexus,ES
459849,21573,2017,43642,Pikeville, KY,Hyundai,Santa
196314,12997,2012,82340,Brooklyn Park, MN,Chrysler,Town
791584,21990,2015,43900,Costa Mesa, CA,Toyota,"SiennaLE,"
545839,24995,2014,37702,Cherry Hiill, NJ,Kia,SorentoLimited
323129,25995,2008,104454,Lakewood, WA,Ford,Super
20652,41000,2017,6188,Palo Alto, CA,Audi,Q52.0
148787,29000,2015,47253,Muncie, IN,Chevrolet,Silverado
105992,19999,2015,24217,Modesto, CA,Chevrolet,Malibu1LTZ
389158,15777,2014,33986,Waukesha, WI,Honda,Accord
262275,8888,2012,107238,St Peters, MO,Ford,EscapeFWD
433578,11042,2016,43859,Longwood, FL,Hyundai,ElantraSE
193704,25999,2017,35262,Clearwater, FL,Chrysler,PacificaTouring-L
318178,11288,2012,84799,Colorado Springs, CO,Ford,Transit
104313,17000,2015,38242,Glendora, CA,Chevrolet,EquinoxFWD
14309,17777,2010,43660,Hillside, NJ,Audi,A52dr
370738,38992,2016,26734,Renton, WA,GMC,CanyonCrew
357542,14791,2011,26786,Tucson, AZ,GMC,TerrainFWD
308324,29000,2013,25368,San Antonio, TX,Ford,F-150SuperCrew
395034,16997,2014,33950,Daphne, AL,Honda,Accord
585049,12999,2014,54281,Yorkville, NY,Mazda,Mazda3i
71538,8870,2010,104350,Birmingham, AL,Cadillac,CTS
100772,16597,2017,16716,Mobile, AL,Chevrolet,CruzeSedan
534063,9900,2011,71752,Hollywood, FL,Kia,Sorento2WD
12603,11995,2011,72829,West Palm Beach, FL,Audi,A52dr
318201,29500,2014,60552,Buford, GA,Ford,F-1504WD
729164,17900,2015,15490,Tulsa, OK,Subaru,Impreza
501027,20777,2010,49962,Hanford, CA,Jeep,Wrangler4WD
552297,49995,2017,309,Bellevue, WA,Land,Rover
820710,42888,2016,39026,Joplin, MO,Toyota,Tundra
201221,7495,2005,100232,Johnson City, TN,Chrysler,Crossfire2dr
203302,8998,2010,45324,Lakewood, NJ,Dodge,Avenger4dr
358398,26964,2015,30946,Cleveland, OH,GMC,AcadiaFWD
379767,12995,2014,30574,Loma Linda, CA,Honda,Civic
238111,9999,2013,19678,Houston, TX,FIAT,500Sport
67782,14884,2014,52399,Oklahoma City, OK,Buick,RegalTurbo
295887,24991,2015,48801,Orange City, FL,Ford,F-1502WD
301230,27750,2015,25376,Louisville, KY,Ford,ExplorerXLT
2092,7599,2006,110620,Lawndale, CA,Acura,TLAutomatic
217218,14242,2013,67243,Turnersville, NJ,Dodge,ChargerSE
751339,14188,2016,37286,Glendale, CA,Toyota,CorollaLE
623173,2599,2007,145409,Baltimore, MD,Mercury,MountaineerAWD
627155,22900,2014,41259,Omaha, NE,MINI,Cooper
830350,13599,2014,38056,Alexandria, VA,Volkswagen,Passat4dr
66353,31804,2017,21161,Fort Lauderdale, FL,Buick,EnclaveLeather
525285,16777,2017,29831,Grand Rapids, MI,Kia,OptimaLX
65604,25888,2016,41886,Lauderdale Lakes, FL,Buick,EnclaveLeather
438942,11595,2014,87636,Ft. Walton Beach, FL,Hyundai,SonataGLS
705928,17988,2012,71876,Pensacola, FL,Ram,15002WD
582050,62500,2015,18780,Van Nuys, CA,Maserati,QuattroporteS
551386,32800,2011,54786,Milford, DE,Land,Rover
418820,5995,2007,181500,Vallejo, CA,Honda,Accord
508931,25988,2013,43913,Post Falls, ID,Jeep,Wrangler
244666,9995,2014,36474,Elverson, PA,Ford,FocusSedan
62035,11995,2011,76278,Merrillville, IN,Buick,Lucerne4dr
405227,8995,2008,105370,Las Vegas, NV,Honda,Accord
222969,14888,2015,98798,Milwaukie, OR,Dodge,Grand
386078,17900,2016,12,Weymouth, MA,Honda,Civic
612486,18995,2011,84872,Smithfield, RI,Mercedes-Benz,E-Class4dr
773540,16985,2014,43572,Little Falls, NJ,Toyota,RAV44X4
38928,34999,2017,4782,Lancaster, PA,BMW,X1Sports
214197,23999,2014,48444,Puyallup, WA,Dodge,ChargerRT
168449,37700,2014,44954,Lubbock, TX,Chevrolet,Silverado
377755,23497,2010,125260,Murfreesboro, TN,GMC,Sierra
454955,9980,2009,71918,Orlando, FL,Hyundai,Santa
586791,14988,2014,45835,Miami, FL,Mazda,Mazda6Touring
777321,16789,2014,72260,Clinton, NC,Toyota,RAV44X2
416785,19991,2015,39928,Palmdale, CA,Honda,Accord
178266,49588,2016,636,Brook Park, OH,Chevrolet,Tahoe4WD
135569,15775,2007,89253,Shakopee, MN,Chevrolet,Silverado
759793,15900,2016,38407,Hattiesburg, MS,Toyota,CamrySE
722420,52575,2015,24209,Layton, UT,Ram,"2500Laramie,"
198117,29411,2017,13572,Spring, TX,Chrysler,300300S
793444,17595,2011,88374,McLean, VA,Toyota,Highlander4WD
819560,39788,2014,29596,Muskogee, OK,Toyota,Tundra
459618,23606,2017,26384,Longmont, CO,Hyundai,Santa
398994,9223,2010,129280,Birmingham, AL,Honda,Accord
322313,4996,2004,113329,Oregon City, OR,Ford,Focus3dr
584949,17538,2016,15894,Longwood, FL,Mazda,Mazda3i
776344,16675,2014,22712,Vineland, NJ,Toyota,CorollaS
688311,17817,2013,17769,Latham, NY,Nissan,RogueSV
603524,25255,2016,28733,Des Plaines, IL,Mercedes-Benz,CLACLA250
18481,30500,2015,17479,Atlanta, GA,Audi,Q3quattro
179416,45000,2015,9058,Westville, NJ,Chevrolet,CorvetteCoupe
607278,31691,2016,6921,Addison, IL,Mercedes-Benz,CLACLA250
561696,24988,2014,49407,Norwood, MA,Lexus,ES
301788,23995,2014,81293,Boise, ID,Ford,F-1504WD
345513,46900,2014,30641,Salt Lake City, UT,Ford,Super
393952,11998,2012,71606,Florence, KY,Honda,Accord
234792,21998,2009,41246,Austin, TX,Dodge,Ram
530891,19187,2017,20301,Vero Beach, FL,Kia,Sportage2WD
511214,28988,2014,37801,Richmond, VA,Jeep,Wrangler
776009,20977,2016,8688,Yuba City, CA,Toyota,PriusThree
607515,39588,2016,905,SHREWSBURY, MA,Mercedes-Benz,C-ClassC300
237590,7995,2014,22927,Hayward, CA,FIAT,500eBATTERY
549429,15888,2005,198673,Jerseyville, IL,Kia,Rio4dr
729801,11920,2012,81450,San Antonio, TX,Subaru,Impreza
765910,6995,2011,132560,Sacramento, CA,Toyota,Camry4dr
